,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
1657,DQ,1,4:29,L,Walt Harris,0,21 of 38,55%,34 of 53,1 of 1,100%,0,0,3:11,17 of 31,4 of 7,0 of 0,5 of 19,1 of 1,15 of 18,W,Mark Godbeer,0,3 of 15,20%,9 of 22,0 of 0,---,0,0,0:00,2 of 13,1 of 1,0 of 1,2 of 14,1 of 1,0 of 0
1658,Submission,1,1:05,L,Walt Harris,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Fabricio Werdum,0,0 of 1,0%,0 of 1,1 of 1,100%,1,0,0:31,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
1659,KO/TKO,1,1:44,W,Walt Harris,1,21 of 41,51%,23 of 43,0 of 0,---,0,0,0:24,17 of 35,2 of 4,2 of 2,7 of 20,0 of 0,14 of 21,L,Cyril Asker,0,2 of 14,14%,2 of 14,0 of 0,---,0,0,0:00,1 of 11,1 of 3,0 of 0,2 of 14,0 of 0,0 of 0
1660,KO/TKO,2,7:41,W,Walt Harris,1,32 of 73,43%,33 of 74,0 of 1,0%,0,0,0:02,24 of 58,6 of 13,2 of 2,29 of 67,1 of 4,2 of 2,L,Chase Sherman,0,20 of 63,31%,20 of 63,0 of 0,---,0,0,0:00,6 of 42,9 of 15,5 of 6,20 of 63,0 of 0,0 of 0
1661,Decision - Split,3,15:00,L,Walt Harris,0,33 of 98,33%,36 of 101,0 of 0,---,1,0,0:29,21 of 79,7 of 12,5 of 7,24 of 83,9 of 15,0 of 0,W,Shamil Abdurakhimov,0,47 of 128,36%,52 of 135,1 of 8,12%,0,0,0:44,21 of 91,6 of 10,20 of 27,39 of 108,7 of 16,1 of 4
1662,KO/TKO,1,4:18,W,Walt Harris,1,31 of 58,53%,40 of 69,0 of 0,---,0,0,0:00,25 of 51,4 of 5,2 of 2,13 of 30,4 of 8,14 of 20,L,Cody East,0,26 of 62,41%,26 of 62,0 of 0,---,0,0,0:39,16 of 47,3 of 6,7 of 9,22 of 53,4 of 9,0 of 0
1663,KO/TKO,2,9:49,L,Walt Harris,0,22 of 72,30%,24 of 74,0 of 0,---,0,0,0:00,9 of 48,9 of 20,4 of 4,21 of 69,1 of 3,0 of 0,W,Soa Palelei,0,24 of 51,47%,43 of 77,1 of 5,20%,0,0,1:34,21 of 45,1 of 4,2 of 2,19 of 43,0 of 0,5 of 8
1664,KO/TKO,1,0:25,L,Walt Harris,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:00,0 of 4,0 of 0,1 of 1,1 of 5,0 of 0,0 of 0,W,Nikita Krylov,1,11 of 16,68%,11 of 16,0 of 0,---,0,0,0:03,5 of 9,1 of 1,5 of 6,8 of 11,0 of 0,3 of 5
1665,Decision - Unanimous,3,15:00,L,Walt Harris,2,18 of 71,25%,19 of 72,0 of 1,0%,0,0,0:04,8 of 53,10 of 18,0 of 0,18 of 71,0 of 0,0 of 0,W,Jared Rosholt,0,33 of 105,31%,73 of 150,1 of 2,50%,0,0,3:48,23 of 89,7 of 12,3 of 4,25 of 88,0 of 1,8 of 16
1666,KO/TKO,2,5:21,L,Aleksei Oleinik,0,2 of 6,33%,3 of 7,1 of 1,100%,2,1,2:21,1 of 4,1 of 2,0 of 0,1 of 5,0 of 0,1 of 1,W,Derrick Lewis,1,35 of 42,83%,35 of 42,1 of 1,100%,0,1,2:39,34 of 41,1 of 1,0 of 0,5 of 7,0 of 0,30 of 35
