,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
77,Decision - Unanimous,3,15:00,W,Kai Kara-France,1,91 of 193,47%,93 of 195,1 of 1,100%,0,0,0:20,58 of 146,9 of 19,24 of 28,85 of 183,2 of 3,4 of 7,L,Mark De La Rosa,0,60 of 195,30%,63 of 198,1 of 7,14%,0,0,1:12,51 of 174,4 of 10,5 of 11,58 of 192,2 of 3,0 of 0
78,Decision - Split,3,15:00,W,Kai Kara-France,0,58 of 168,34%,60 of 170,2 of 7,28%,0,0,0:20,33 of 134,17 of 24,8 of 10,55 of 164,1 of 2,2 of 2,L,Raulian Paiva,0,67 of 184,36%,71 of 188,0 of 4,0%,1,0,1:40,36 of 140,21 of 33,10 of 11,61 of 170,1 of 4,5 of 10
79,Decision - Unanimous,3,15:00,W,Kai Kara-France,1,86 of 178,48%,157 of 261,0 of 0,---,0,1,9:30,74 of 163,9 of 11,3 of 4,33 of 82,0 of 0,53 of 96,L,Elias Garcia,1,16 of 73,21%,20 of 77,1 of 7,14%,2,1,0:28,13 of 67,1 of 2,2 of 4,15 of 72,1 of 1,0 of 0
80,Decision - Unanimous,3,15:00,L,Rogerio Bontorin,0,9 of 20,45%,24 of 35,0 of 2,0%,0,0,1:43,3 of 14,5 of 5,1 of 1,3 of 13,5 of 6,1 of 1,W,Ray Borg,0,35 of 45,77%,60 of 74,10 of 19,52%,0,0,11:23,35 of 44,0 of 1,0 of 0,2 of 7,12 of 16,21 of 22
81,TKO - Doctor's Stoppage,1,2:56,W,Rogerio Bontorin,0,8 of 15,53%,8 of 16,2 of 5,40%,0,0,1:19,6 of 13,0 of 0,2 of 2,7 of 14,1 of 1,0 of 0,L,Raulian Paiva,0,3 of 15,20%,7 of 19,0 of 0,---,0,0,0:00,3 of 14,0 of 1,0 of 0,3 of 15,0 of 0,0 of 0
82,Decision - Split,3,15:00,W,Rogerio Bontorin,0,40 of 77,51%,52 of 89,1 of 3,33%,2,1,2:58,27 of 62,11 of 12,2 of 3,33 of 70,6 of 6,1 of 1,L,Bibulatov Magomed,0,58 of 98,59%,66 of 107,4 of 8,50%,0,0,2:16,21 of 57,35 of 39,2 of 2,41 of 78,14 of 16,3 of 4
83,Submission,2,9:37,W,Rogerio Bontorin,0,41 of 76,53%,48 of 86,2 of 4,50%,1,0,--,25 of 57,9 of 11,7 of 8,28 of 62,5 of 5,8 of 9,L,Gustavo Gabriel,0,39 of 60,65%,45 of 66,0 of 2,0%,0,0,--,29 of 43,8 of 13,2 of 4,29 of 47,5 of 6,5 of 7
84,KO/TKO,1,4:17,L,Matt Schnell,0,20 of 52,38%,35 of 68,0 of 1,0%,0,0,0:00,16 of 43,2 of 6,2 of 3,18 of 50,0 of 0,2 of 2,W,Alexandre Pantoja,1,34 of 62,54%,36 of 64,1 of 1,100%,0,0,1:14,32 of 60,0 of 0,2 of 2,27 of 54,0 of 0,7 of 8
85,Submission,1,1:23,W,Matt Schnell,0,3 of 12,25%,3 of 12,0 of 0,---,1,0,0:00,2 of 11,0 of 0,1 of 1,3 of 12,0 of 0,0 of 0,L,Jordan Espinosa,0,5 of 6,83%,5 of 6,0 of 1,0%,0,0,0:25,2 of 3,0 of 0,3 of 3,5 of 6,0 of 0,0 of 0
86,Submission,1,3:18,W,Matt Schnell,0,14 of 40,35%,16 of 42,1 of 1,100%,2,0,0:28,11 of 35,2 of 4,1 of 1,13 of 39,1 of 1,0 of 0,L,Louis Smolka,0,13 of 24,54%,14 of 25,0 of 0,---,0,0,1:18,9 of 17,1 of 2,3 of 5,12 of 23,0 of 0,1 of 1
87,Decision - Split,3,15:00,W,Matt Schnell,0,71 of 183,38%,79 of 192,0 of 1,0%,0,0,0:00,43 of 141,5 of 12,23 of 30,68 of 177,3 of 6,0 of 0,L,Naoki Inoue,0,48 of 196,24%,64 of 212,0 of 1,0%,0,0,0:37,35 of 172,2 of 4,11 of 20,42 of 190,6 of 6,0 of 0
88,Decision - Unanimous,3,15:00,W,Matt Schnell,0,38 of 140,27%,38 of 140,0 of 2,0%,1,0,0:16,24 of 113,2 of 9,12 of 18,35 of 132,3 of 8,0 of 0,L,Marco Beltran,0,34 of 109,31%,45 of 120,1 of 1,100%,0,0,0:12,14 of 80,7 of 10,13 of 19,33 of 108,1 of 1,0 of 0
89,KO/TKO,1,4:24,L,Matt Schnell,0,16 of 40,40%,27 of 52,1 of 1,100%,1,0,0:06,8 of 29,4 of 6,4 of 5,6 of 24,10 of 15,0 of 1,W,Hector Sandoval,0,32 of 50,64%,52 of 70,3 of 8,37%,0,0,0:58,22 of 37,6 of 7,4 of 6,5 of 13,17 of 25,10 of 12
90,KO/TKO,1,3:47,L,Matt Schnell,0,14 of 33,42%,25 of 44,0 of 0,---,0,0,0:00,9 of 28,1 of 1,4 of 4,14 of 33,0 of 0,0 of 0,W,Rob Font,1,26 of 33,78%,32 of 40,1 of 1,100%,1,0,2:10,20 of 27,5 of 5,1 of 1,12 of 19,1 of 1,13 of 13
91,Decision - Unanimous,3,15:00,W,Raulian Paiva,0,52 of 121,42%,56 of 125,0 of 0,---,0,0,0:43,14 of 71,22 of 31,16 of 19,51 of 119,1 of 2,0 of 0,L,Zhalgas Zhumagulov,0,66 of 119,55%,73 of 126,2 of 11,18%,0,0,0:29,19 of 61,17 of 25,30 of 33,64 of 115,1 of 2,1 of 2
92,KO/TKO,2,9:42,W,Raulian Paiva,1,54 of 126,42%,67 of 139,0 of 0,---,0,0,1:48,33 of 98,10 of 13,11 of 15,45 of 116,8 of 9,1 of 1,L,Mark De La Rosa,0,45 of 124,36%,45 of 124,0 of 2,0%,0,0,0:00,21 of 91,15 of 24,9 of 9,44 of 122,1 of 2,0 of 0
93,TKO - Doctor's Stoppage,1,2:56,L,Raulian Paiva,0,3 of 15,20%,7 of 19,0 of 0,---,0,0,0:00,3 of 14,0 of 1,0 of 0,3 of 15,0 of 0,0 of 0,W,Rogerio Bontorin,0,8 of 15,53%,8 of 16,2 of 5,40%,0,0,1:19,6 of 13,0 of 0,2 of 2,7 of 14,1 of 1,0 of 0
94,Decision - Split,3,15:00,L,Raulian Paiva,0,67 of 184,36%,71 of 188,0 of 4,0%,1,0,1:40,36 of 140,21 of 33,10 of 11,61 of 170,1 of 4,5 of 10,W,Kai Kara-France,0,58 of 168,34%,60 of 170,2 of 7,28%,0,0,0:20,33 of 134,17 of 24,8 of 10,55 of 164,1 of 2,2 of 2
95,Decision - Split,3,15:00,W,Raulian Paiva,0,81 of 145,55%,87 of 156,1 of 1,100%,0,0,--,60 of 123,18 of 19,3 of 3,70 of 133,5 of 5,6 of 7,L,Allan Nascimento,0,105 of 154,68%,108 of 158,1 of 10,10%,0,0,--,79 of 125,10 of 13,16 of 16,84 of 118,10 of 14,11 of 22
96,Decision - Unanimous,3,15:00,W,David Dvorak,0,68 of 146,46%,69 of 147,0 of 1,0%,0,0,0:04,30 of 90,8 of 19,30 of 37,61 of 135,7 of 11,0 of 0,L,Jordan Espinosa,0,50 of 162,30%,50 of 162,0 of 1,0%,0,0,0:00,16 of 119,14 of 20,20 of 23,47 of 156,3 of 6,0 of 0
97,Decision - Unanimous,3,15:00,W,David Dvorak,0,67 of 133,50%,92 of 161,0 of 1,0%,0,2,1:13,35 of 86,24 of 37,8 of 10,51 of 107,14 of 24,2 of 2,L,Bruno Silva,0,45 of 97,46%,60 of 112,3 of 11,27%,0,0,1:31,25 of 69,12 of 17,8 of 11,35 of 82,8 of 10,2 of 5
98,Decision - Unanimous,3,15:00,W,Tim Elliott,0,67 of 169,39%,90 of 193,1 of 13,7%,2,1,2:42,31 of 100,16 of 40,20 of 29,44 of 139,14 of 20,9 of 10,L,Ryan Benoit,0,55 of 122,45%,64 of 131,1 of 2,50%,2,0,0:22,39 of 97,13 of 22,3 of 3,47 of 107,8 of 15,0 of 0
99,Submission,2,8:18,L,Tim Elliott,0,17 of 32,53%,40 of 55,4 of 10,40%,0,1,4:01,6 of 18,3 of 5,8 of 9,11 of 24,3 of 5,3 of 3,W,Brandon Royval,0,16 of 33,48%,22 of 41,1 of 1,100%,2,1,2:04,9 of 26,4 of 4,3 of 3,12 of 29,1 of 1,3 of 3
100,Decision - Unanimous,3,15:00,L,Tim Elliott,0,47 of 111,42%,86 of 157,3 of 11,27%,0,0,2:02,15 of 67,18 of 24,14 of 20,35 of 90,12 of 21,0 of 0,W,Askar Askarov,0,73 of 150,48%,96 of 173,0 of 7,0%,0,0,4:05,57 of 131,4 of 5,12 of 14,57 of 127,8 of 9,8 of 14
101,Submission,1,3:08,L,Tim Elliott,0,26 of 38,68%,33 of 45,1 of 3,33%,0,0,0:04,10 of 16,1 of 5,15 of 17,20 of 28,6 of 10,0 of 0,W,Deiveson Figueiredo,0,8 of 13,61%,8 of 13,0 of 1,0%,1,0,0:00,8 of 13,0 of 0,0 of 0,6 of 10,2 of 3,0 of 0
102,Submission,2,6:41,W,Tim Elliott,0,12 of 24,50%,54 of 75,1 of 1,100%,2,2,5:34,10 of 18,1 of 2,1 of 4,1 of 6,0 of 0,11 of 18,L,Mark De La Rosa,0,2 of 4,50%,4 of 6,0 of 0,---,0,0,0:31,0 of 2,2 of 2,0 of 0,1 of 3,0 of 0,1 of 1
103,Submission,1,0:49,L,Tim Elliott,0,1 of 4,25%,1 of 4,0 of 2,0%,0,0,0:00,0 of 2,0 of 0,1 of 2,1 of 4,0 of 0,0 of 0,W,Ben Nguyen,0,3 of 7,42%,8 of 12,1 of 1,100%,1,0,0:31,3 of 7,0 of 0,0 of 0,2 of 6,1 of 1,0 of 0
104,Decision - Unanimous,3,15:00,W,Tim Elliott,0,57 of 91,62%,98 of 136,12 of 14,85%,1,3,8:03,34 of 64,15 of 18,8 of 9,30 of 55,12 of 18,15 of 18,L,Louis Smolka,0,41 of 97,42%,47 of 105,1 of 4,25%,2,4,2:39,35 of 89,4 of 6,2 of 2,27 of 74,3 of 7,11 of 16
105,Decision - Unanimous,5,25:00,L,Tim Elliott,0,24 of 61,39%,110 of 157,4 of 4,100%,2,0,3:38,15 of 36,8 of 20,1 of 5,12 of 45,11 of 14,1 of 2,W,Demetrious Johnson,0,28 of 58,48%,86 of 116,5 of 7,71%,3,1,16:38,16 of 39,4 of 7,8 of 12,15 of 39,4 of 8,9 of 11
106,Decision - Unanimous,3,15:00,L,Tim Elliott,0,43 of 88,48%,152 of 199,1 of 2,50%,0,0,1:15,31 of 72,8 of 11,4 of 5,20 of 52,8 of 15,15 of 21,W,Zach Makovsky,0,21 of 33,63%,61 of 77,6 of 11,54%,0,1,9:59,14 of 26,3 of 3,4 of 4,8 of 18,3 of 4,10 of 11
107,Submission,1,4:08,L,Tim Elliott,0,16 of 21,76%,27 of 35,3 of 3,100%,0,0,1:16,10 of 15,3 of 3,3 of 3,13 of 17,3 of 4,0 of 0,W,Joseph Benavidez,0,9 of 23,39%,14 of 28,0 of 0,---,1,1,1:33,4 of 16,4 of 6,1 of 1,9 of 22,0 of 1,0 of 0
108,Decision - Unanimous,3,15:00,L,Tim Elliott,0,48 of 158,30%,72 of 188,2 of 4,50%,1,0,1:06,28 of 127,5 of 11,15 of 20,41 of 147,5 of 7,2 of 4,W,Ali Bagautinov,0,43 of 150,28%,43 of 150,1 of 4,25%,0,0,0:34,34 of 138,7 of 10,2 of 2,38 of 138,4 of 10,1 of 2
109,Decision - Unanimous,3,15:00,W,Tim Elliott,0,116 of 200,58%,270 of 386,6 of 6,100%,2,0,9:08,76 of 150,26 of 34,14 of 16,34 of 74,20 of 22,62 of 104,L,Louis Gaudinot,0,28 of 78,35%,41 of 95,0 of 0,---,0,0,0:14,12 of 56,6 of 8,10 of 14,23 of 69,5 of 9,0 of 0
110,Decision - Unanimous,3,15:00,W,Tim Elliott,1,36 of 69,52%,189 of 256,7 of 14,50%,4,0,7:08,26 of 57,7 of 9,3 of 3,27 of 58,4 of 5,5 of 6,L,Jared Papazian,0,36 of 97,37%,46 of 109,0 of 1,0%,0,1,2:09,28 of 87,5 of 7,3 of 3,30 of 87,4 of 6,2 of 4
111,Decision - Unanimous,3,15:00,L,Tim Elliott,0,79 of 225,35%,81 of 227,0 of 5,0%,0,0,0:02,64 of 192,11 of 28,4 of 5,67 of 203,12 of 22,0 of 0,W,John Dodson,0,80 of 233,34%,83 of 236,2 of 4,50%,0,0,0:12,54 of 200,17 of 24,9 of 9,78 of 226,2 of 6,0 of 1
112,KO/TKO,2,5:34,W,Tyson Nam,1,36 of 72,50%,36 of 72,0 of 0,---,0,0,0:23,27 of 58,7 of 12,2 of 2,18 of 47,3 of 3,15 of 22,L,Jerome Rivera,0,30 of 80,37%,31 of 81,0 of 0,---,0,0,0:00,9 of 45,2 of 11,19 of 24,29 of 79,1 of 1,0 of 0
113,KO/TKO,1,0:32,W,Tyson Nam,1,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:02,2 of 3,0 of 0,0 of 0,1 of 2,0 of 0,1 of 1,L,Zarrukh Adashev,0,2 of 6,33%,2 of 6,0 of 0,---,0,0,0:00,1 of 5,0 of 0,1 of 1,2 of 6,0 of 0,0 of 0
114,Decision - Unanimous,3,15:00,L,Tyson Nam,0,50 of 153,32%,52 of 155,0 of 4,0%,0,0,0:53,34 of 131,11 of 17,5 of 5,48 of 146,2 of 7,0 of 0,W,Kai Kara-France,0,78 of 257,30%,78 of 257,0 of 4,0%,0,0,0:17,51 of 218,9 of 17,18 of 22,72 of 246,5 of 9,1 of 2
115,Decision - Unanimous,3,15:00,L,Tyson Nam,0,40 of 170,23%,43 of 173,0 of 0,---,0,0,0:46,28 of 149,7 of 15,5 of 6,38 of 164,2 of 6,0 of 0,W,Sergio Pettis,0,96 of 253,37%,96 of 253,0 of 0,---,0,0,0:02,76 of 224,5 of 13,15 of 16,90 of 245,5 of 7,1 of 1
116,Decision - Unanimous,3,15:00,L,Jordan Espinosa,0,50 of 162,30%,50 of 162,0 of 1,0%,0,0,0:00,16 of 119,14 of 20,20 of 23,47 of 156,3 of 6,0 of 0,W,David Dvorak,0,68 of 146,46%,69 of 147,0 of 1,0%,0,0,0:04,30 of 90,8 of 19,30 of 37,61 of 135,7 of 11,0 of 0
117,Decision - Unanimous,3,15:00,W,Jordan Espinosa,0,126 of 185,68%,188 of 254,2 of 3,66%,0,0,2:22,93 of 149,16 of 17,17 of 19,69 of 117,39 of 46,18 of 22,L,Mark De La Rosa,0,37 of 118,31%,43 of 127,0 of 3,0%,0,0,3:49,14 of 80,12 of 19,11 of 19,32 of 102,5 of 16,0 of 0
118,Submission,1,2:33,L,Jordan Espinosa,0,2 of 13,15%,2 of 13,0 of 0,---,0,0,0:00,1 of 9,0 of 0,1 of 4,2 of 13,0 of 0,0 of 0,W,Alex Perez,0,2 of 9,22%,16 of 23,1 of 1,100%,1,0,1:33,0 of 6,0 of 1,2 of 2,2 of 9,0 of 0,0 of 0
119,Submission,1,1:23,L,Jordan Espinosa,0,5 of 6,83%,5 of 6,0 of 1,0%,0,0,0:25,2 of 3,0 of 0,3 of 3,5 of 6,0 of 0,0 of 0,W,Matt Schnell,0,3 of 12,25%,3 of 12,0 of 0,---,1,0,0:00,2 of 11,0 of 0,1 of 1,3 of 12,0 of 0,0 of 0
120,Decision - Unanimous,3,15:00,W,Jordan Espinosa,0,47 of 105,44%,47 of 105,1 of 3,33%,0,0,0:18,19 of 63,10 of 14,18 of 28,46 of 102,1 of 3,0 of 0,L,Eric Shelton,0,25 of 81,30%,25 of 81,0 of 0,---,0,0,0:00,18 of 69,1 of 3,6 of 9,25 of 79,0 of 2,0 of 0
121,KO/TKO,3,14:58,W,Jordan Espinosa,3,89 of 133,66%,90 of 134,1 of 6,16%,0,0,--,63 of 103,20 of 24,6 of 6,58 of 91,15 of 20,16 of 22,L,Rilley Dutro,0,71 of 130,54%,83 of 143,0 of 3,0%,0,0,--,34 of 69,26 of 47,11 of 14,55 of 108,16 of 22,0 of 0
122,Submission,1,1:23,W,Jordan Espinosa,1,7 of 11,63%,10 of 14,0 of 0,---,1,0,--,5 of 8,0 of 0,2 of 3,4 of 8,2 of 2,1 of 1,L,Nick Urso,0,5 of 11,45%,5 of 12,0 of 2,0%,0,0,--,2 of 6,1 of 2,2 of 3,4 of 9,1 of 2,0 of 0
123,Submission,1,4:48,W,Deiveson Figueiredo,2,35 of 40,87%,40 of 45,0 of 0,---,4,0,2:23,31 of 36,4 of 4,0 of 0,12 of 16,0 of 0,23 of 24,L,Joseph Benavidez,0,18 of 28,64%,22 of 33,0 of 0,---,0,0,0:00,8 of 15,5 of 7,5 of 6,18 of 28,0 of 0,0 of 0
124,KO/TKO,2,6:54,W,Deiveson Figueiredo,1,25 of 49,51%,25 of 49,1 of 1,100%,1,0,0:27,18 of 39,7 of 10,0 of 0,20 of 44,2 of 2,3 of 3,L,Joseph Benavidez,0,46 of 94,48%,46 of 94,0 of 2,0%,0,0,0:10,28 of 63,8 of 13,10 of 18,36 of 78,10 of 16,0 of 0
125,Submission,1,3:08,W,Deiveson Figueiredo,0,8 of 13,61%,8 of 13,0 of 1,0%,1,0,0:00,8 of 13,0 of 0,0 of 0,6 of 10,2 of 3,0 of 0,L,Tim Elliott,0,26 of 38,68%,33 of 45,1 of 3,33%,0,0,0:04,10 of 16,1 of 5,15 of 17,20 of 28,6 of 10,0 of 0
126,Decision - Unanimous,3,15:00,W,Deiveson Figueiredo,1,67 of 113,59%,71 of 117,2 of 3,66%,0,0,1:52,53 of 98,12 of 13,2 of 2,46 of 78,11 of 19,10 of 16,L,Alexandre Pantoja,0,61 of 151,40%,68 of 160,2 of 10,20%,0,0,1:14,41 of 122,9 of 14,11 of 15,48 of 131,13 of 19,0 of 1
127,Decision - Unanimous,3,15:00,L,Deiveson Figueiredo,0,14 of 50,28%,41 of 80,0 of 2,0%,0,0,0:11,6 of 36,7 of 11,1 of 3,9 of 45,3 of 3,2 of 2,W,Jussier Formiga,0,26 of 51,50%,51 of 78,3 of 5,60%,0,0,6:41,19 of 43,5 of 6,2 of 2,15 of 35,2 of 2,9 of 14
128,KO/TKO,2,8:08,W,Deiveson Figueiredo,2,29 of 39,74%,46 of 58,2 of 4,50%,1,0,4:56,20 of 30,9 of 9,0 of 0,6 of 11,1 of 2,22 of 26,L,John Moraga,0,14 of 26,53%,19 of 33,0 of 2,0%,1,0,0:00,6 of 17,6 of 7,2 of 2,8 of 19,4 of 5,2 of 2
129,KO/TKO,2,9:34,W,Deiveson Figueiredo,1,31 of 62,50%,44 of 76,2 of 2,100%,1,0,6:03,25 of 51,6 of 11,0 of 0,11 of 27,0 of 0,20 of 35,L,Joseph Morales,0,9 of 32,28%,11 of 35,0 of 1,0%,0,0,0:00,5 of 24,2 of 4,2 of 4,7 of 20,0 of 1,2 of 11
130,Decision - Split,3,15:00,W,Deiveson Figueiredo,0,19 of 48,39%,22 of 52,1 of 4,25%,5,0,1:06,9 of 31,10 of 17,0 of 0,12 of 40,7 of 8,0 of 0,L,Jarred Brooks,0,30 of 52,57%,82 of 112,7 of 11,63%,0,0,7:29,26 of 46,4 of 5,0 of 1,6 of 21,7 of 10,17 of 21
131,KO/TKO,2,10:00,W,Deiveson Figueiredo,1,17 of 26,65%,21 of 31,2 of 3,66%,4,0,4:48,10 of 17,6 of 8,1 of 1,8 of 12,1 of 1,8 of 13,L,Marco Beltran,0,16 of 40,40%,19 of 43,0 of 0,---,0,0,1:54,11 of 33,0 of 2,5 of 5,9 of 24,0 of 0,7 of 16
132,KO/TKO,5,23:24,W,Petr Yan,1,194 of 309,62%,258 of 376,1 of 2,50%,0,0,4:50,150 of 256,35 of 44,9 of 9,99 of 201,9 of 11,86 of 97,L,Jose Aldo,0,83 of 157,52%,83 of 157,0 of 1,0%,0,0,0:00,38 of 97,28 of 39,17 of 21,81 of 154,2 of 3,0 of 0
133,KO/TKO,3,10:43,W,Petr Yan,3,54 of 108,50%,62 of 116,2 of 2,100%,0,0,1:26,40 of 90,11 of 14,3 of 4,26 of 73,14 of 17,14 of 18,L,Urijah Faber,0,18 of 76,23%,28 of 86,0 of 3,0%,0,0,0:16,14 of 64,2 of 9,2 of 3,15 of 71,3 of 5,0 of 0
134,Decision - Unanimous,3,15:00,W,Petr Yan,2,56 of 189,29%,58 of 192,1 of 3,33%,0,0,0:39,40 of 166,13 of 19,3 of 4,42 of 167,10 of 12,4 of 10,L,Jimmie Rivera,0,73 of 192,38%,76 of 195,0 of 3,0%,0,0,0:39,42 of 145,15 of 24,16 of 23,60 of 173,9 of 15,4 of 4
135,Decision - Unanimous,3,15:00,W,Petr Yan,0,80 of 155,51%,102 of 180,2 of 5,40%,0,0,1:29,61 of 131,16 of 20,3 of 4,61 of 134,15 of 17,4 of 4,L,John Dodson,1,30 of 81,37%,35 of 86,2 of 8,25%,0,0,0:37,18 of 65,8 of 11,4 of 5,25 of 73,4 of 7,1 of 1
136,KO/TKO,2,10:00,W,Petr Yan,0,76 of 118,64%,101 of 145,3 of 4,75%,1,0,3:37,49 of 86,23 of 27,4 of 5,42 of 78,8 of 8,26 of 32,L,Douglas Silva de Andrade,0,28 of 77,36%,28 of 77,0 of 1,0%,0,0,0:00,13 of 44,10 of 20,5 of 13,26 of 75,2 of 2,0 of 0
137,Decision - Unanimous,3,15:00,W,Petr Yan,0,100 of 232,43%,115 of 249,0 of 1,0%,0,1,0:13,87 of 216,10 of 13,3 of 3,73 of 195,20 of 29,7 of 8,L,Jin Soo Son,0,58 of 220,26%,63 of 226,1 of 7,14%,0,0,2:35,51 of 203,4 of 13,3 of 4,47 of 201,7 of 13,4 of 6
138,KO/TKO,1,3:28,W,Petr Yan,2,25 of 40,62%,29 of 45,0 of 0,---,0,0,0:04,18 of 32,7 of 8,0 of 0,19 of 31,1 of 1,5 of 8,L,Teruto Ishihara,0,11 of 30,36%,11 of 30,0 of 2,0%,0,0,0:18,4 of 18,2 of 5,5 of 7,9 of 28,2 of 2,0 of 0
139,Submission,1,1:28,W,Aljamain Sterling,0,2 of 3,66%,10 of 12,0 of 1,0%,2,0,1:13,0 of 0,0 of 0,2 of 3,2 of 3,0 of 0,0 of 0,L,Cory Sandhagen,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0
140,Decision - Unanimous,3,15:00,W,Aljamain Sterling,0,174 of 349,49%,175 of 350,0 of 7,0%,0,0,0:00,123 of 250,36 of 73,15 of 26,172 of 338,2 of 11,0 of 0,L,Pedro Munhoz,0,105 of 265,39%,108 of 269,0 of 0,---,0,0,0:05,44 of 159,29 of 64,32 of 42,102 of 257,3 of 8,0 of 0
141,Decision - Unanimous,3,15:00,W,Aljamain Sterling,0,101 of 176,57%,129 of 206,0 of 7,0%,0,0,2:45,36 of 96,39 of 51,26 of 29,77 of 146,23 of 29,1 of 1,L,Jimmie Rivera,0,24 of 84,28%,36 of 97,0 of 0,---,0,0,2:50,8 of 59,7 of 16,9 of 9,17 of 77,7 of 7,0 of 0
142,Submission,2,8:42,W,Aljamain Sterling,0,33 of 74,44%,63 of 105,2 of 9,22%,2,0,2:53,23 of 56,7 of 13,3 of 5,13 of 51,3 of 4,17 of 19,L,Cody Stamann,0,12 of 43,27%,20 of 51,3 of 3,100%,0,0,2:36,2 of 31,6 of 7,4 of 5,7 of 35,5 of 8,0 of 0
143,Decision - Unanimous,3,15:00,W,Aljamain Sterling,0,89 of 152,58%,117 of 181,3 of 9,33%,0,1,1:22,40 of 88,37 of 51,12 of 13,53 of 103,26 of 32,10 of 17,L,Brett Johns,0,27 of 89,30%,56 of 119,1 of 5,20%,0,0,6:31,23 of 79,4 of 8,0 of 2,17 of 76,10 of 13,0 of 0
144,KO/TKO,1,1:07,L,Aljamain Sterling,0,3 of 10,30%,3 of 10,0 of 0,---,0,0,0:00,1 of 7,1 of 1,1 of 2,3 of 8,0 of 0,0 of 2,W,Marlon Moraes,2,7 of 14,50%,10 of 17,0 of 0,---,0,0,0:13,6 of 13,1 of 1,0 of 0,5 of 12,0 of 0,2 of 2
145,Decision - Unanimous,3,15:00,W,Aljamain Sterling,0,71 of 121,58%,112 of 166,1 of 1,100%,0,0,5:39,41 of 81,15 of 23,15 of 17,36 of 82,7 of 8,28 of 31,L,Renan Barao,0,19 of 85,22%,65 of 138,2 of 3,66%,0,0,4:34,10 of 65,6 of 13,3 of 7,9 of 70,2 of 2,8 of 13
146,Decision - Unanimous,3,15:00,W,Aljamain Sterling,0,83 of 161,51%,162 of 246,2 of 6,33%,0,0,5:59,28 of 90,46 of 55,9 of 16,53 of 117,10 of 12,20 of 32,L,Augusto Mendes,1,30 of 91,32%,76 of 145,0 of 3,0%,0,1,3:13,16 of 73,7 of 11,7 of 7,24 of 84,4 of 4,2 of 3
147,Decision - Split,3,15:00,L,Aljamain Sterling,0,52 of 172,30%,52 of 172,0 of 3,0%,0,0,0:02,18 of 112,9 of 21,25 of 39,52 of 172,0 of 0,0 of 0,W,Raphael Assuncao,0,39 of 101,38%,39 of 101,0 of 0,---,0,0,0:00,10 of 60,8 of 14,21 of 27,39 of 101,0 of 0,0 of 0
148,Decision - Split,3,15:00,L,Aljamain Sterling,0,32 of 64,50%,56 of 91,1 of 3,33%,2,0,3:51,9 of 34,14 of 18,9 of 12,22 of 50,7 of 9,3 of 5,W,Bryan Caraway,0,9 of 31,29%,69 of 96,3 of 6,50%,0,0,6:35,8 of 28,1 of 3,0 of 0,9 of 30,0 of 1,0 of 0
149,Submission,2,9:18,W,Aljamain Sterling,0,23 of 61,37%,49 of 90,2 of 2,100%,1,0,3:29,14 of 40,6 of 14,3 of 7,10 of 39,1 of 1,12 of 21,L,Johnny Eduardo,0,4 of 24,16%,7 of 27,0 of 0,---,0,0,0:01,0 of 11,0 of 5,4 of 8,4 of 24,0 of 0,0 of 0
150,Submission,3,12:11,W,Aljamain Sterling,0,32 of 54,59%,60 of 84,3 of 15,20%,1,0,7:37,8 of 28,12 of 12,12 of 14,13 of 32,19 of 22,0 of 0,L,Takeya Mizugaki,0,13 of 42,30%,19 of 49,0 of 1,0%,0,0,0:31,6 of 30,6 of 10,1 of 2,7 of 34,6 of 8,0 of 0
151,KO/TKO,3,13:50,W,Aljamain Sterling,0,62 of 98,63%,94 of 132,4 of 4,100%,0,0,8:34,39 of 67,16 of 21,7 of 10,10 of 32,12 of 14,40 of 52,L,Hugo Viana,0,15 of 46,32%,22 of 54,0 of 0,---,0,0,0:00,9 of 36,2 of 6,4 of 4,12 of 43,3 of 3,0 of 0
152,Decision - Unanimous,3,15:00,W,Aljamain Sterling,0,46 of 89,51%,132 of 177,3 of 5,60%,3,0,7:55,23 of 57,17 of 22,6 of 10,11 of 39,25 of 37,10 of 13,L,Cody Gibson,0,18 of 53,33%,35 of 73,4 of 6,66%,1,0,3:11,9 of 36,8 of 13,1 of 4,5 of 26,11 of 23,2 of 4
153,KO/TKO,2,6:03,W,Cory Sandhagen,1,38 of 88,43%,38 of 88,0 of 0,---,0,0,0:04,16 of 63,9 of 10,13 of 15,36 of 84,0 of 0,2 of 4,L,Marlon Moraes,0,14 of 50,28%,14 of 50,1 of 1,100%,0,0,0:09,10 of 39,1 of 5,3 of 6,14 of 50,0 of 0,0 of 0
